index,lambda
144,2.3292007318619667
145,2.4132933194175283
146,2.4132933194175297
147,2.4132933194175297
148,2.413293319417531
149,2.4692662705396415
150,2.4823619097949585
151,2.4823619097949594
152,2.517638090205042
153,2.517638090205042
154,2.521424757542457
155,2.521424757542457
156,2.5290015768712264
157,2.5290015768712264
158,2.534748367457421
159,2.534748367457421
160,2.5857864376269033
161,2.5857864376269046
162,2.5857864376269055
163,2.585786437626907
164,2.669879025182467
165,2.669879025182468
166,2.674345703857633
167,2.674345703857633
168,2.7169950450647793
169,2.7169950450647793
170,2.738947615559897
171,2.738947615559897
172,2.76536686473018
173,2.765366864730181
174,2.7824771419825582
175,2.7824771419825582
176,2.782477141982559
177,2.782477141982559
178,2.785587282636164
179,2.785587282636164
180,2.833515212152043
181,2.833515212152044
182,2.8468388220670073
183,2.8468388220670087
184,2.917607799707606
185,2.917607799707606
186,2.930931409622571
187,2.930931409622572
188,2.9647238195899175
189,2.9735807508297167
190,2.973580750829718
191,2.999999999999999
192,2.999999999999999
193,3.0000000000000004
194,3.0000000000000004
195,3.01711027725238
196,3.01711027725238
197,3.033316057161302
198,3.0333160571613034
199,3.043529526422662
200,3.0435295264226627
201,3.0681483474218636
202,3.0681483474218636
203,3.1034245278319457
204,3.103424527831947
205,3.152240934977426
206,3.152240934977427
207,3.178660184147709
208,3.178660184147709
209,3.2175228580174418
210,3.2175228580174418
211,3.221309525354855
212,3.2213095253548563
213,3.234633135269819
214,3.23463313526982
215,3.234633135269821
216,3.234633135269822
217,3.2610523844401027
218,3.261052384440104
219,3.267949192431122
220,3.267949192431124
221,3.2856712054393045
222,3.2856712054393045
223,3.3001152321876
224,3.3001152321876
225,3.3511533023570843
226,3.351153302357085
227,3.369763792994868
228,3.369763792994869
229,3.4132933194175297
230,3.4132933194175297
231,3.414213562373095
232,3.414213562373095
233,3.431323839625473
234,3.4313238396254744
235,3.4778952311197933
236,3.4823619097949576
237,3.482361909794959
238,3.48236190979496
239,3.482361909794961
240,3.4854720504485637
241,3.485472050448565
242,3.4956855197099226
243,3.495685519709925
244,3.5176380902050415
245,3.5176380902050415
246,3.5478440067127384
247,3.5478440067127384
248,3.566454497350521
249,3.5664544973505223
250,3.585786437626904
251,3.585786437626904
252,3.586706680582469
253,3.58670668058247
254,3.6038169578348493
255,3.6038169578348502
256,3.63081617743497
257,3.630816177434971
258,3.654855028004334
259,3.654855028004334
260,3.6821627548042173
261,3.6821627548042173
262,3.732050807568877
263,3.7320508075688785
264,3.7389476155598946
265,3.7389476155598955
266,3.738947615559897
267,3.7389476155598977
268,3.743414294235061
269,3.7434142942350617
270,3.7491610848212558
271,3.7491610848212567
272,3.7522712254748605
273,3.7522712254748627
274,3.7653668647301797
275,3.7653668647301806
276,3.7824771419825582
277,3.782477141982559
278,3.8001991549907412
279,3.8001991549907412
280,3.803309295644346
281,3.8033092956443473
282,3.8275068817906237
283,3.827506881790625
284,3.847759065022572
285,3.847759065022573
286,3.854655873013593
287,3.854655873013594
288,3.864869342274952
289,3.864869342274952
290,3.8842917425463037
291,3.8842917425463046
292,3.915907412444437
293,3.915907412444438
294,3.9318516525781364
295,3.9318516525781364
296,3.9489619298305154
297,3.9489619298305167
298,3.9828897227476205
299,3.9828897227476205
300,3.9999999999999964
301,3.9999999999999964
302,3.9999999999999964
303,3.9999999999999964
304,3.9999999999999973
305,3.9999999999999973
306,3.9999999999999973
307,3.9999999999999982
308,3.9999999999999987
309,3.9999999999999996
310,3.9999999999999996
311,3.9999999999999996
312,3.9999999999999996
313,3.9999999999999996
314,4.000000000000001
315,4.000000000000001
316,4.000000000000001
317,4.000000000000001
318,4.000000000000001
319,4.000000000000003
320,4.000000000000004
321,4.000000000000004
322,4.000000000000006
323,4.0510380701694855
324,4.0510380701694855
325,4.0840925875555625
326,4.084092587555564
327,4.115708257453696
328,4.115708257453696
329,4.135130657725048
330,4.135130657725048
331,4.145344126986408
332,4.145344126986408
333,4.172493118209375
334,4.172493118209377
335,4.196690704355654
336,4.196690704355654
337,4.19980084500926
338,4.19980084500926
339,4.21752285801744
340,4.217522858017442
341,4.23463313526982
342,4.23463313526982
343,4.247728774525138
344,4.247728774525139
345,4.2508389151787425
346,4.250838915178748
347,4.256585705764938
348,4.256585705764938
349,4.261052384440102
350,4.261052384440103
351,4.261052384440103
352,4.261052384440105
353,4.317837245195782
354,4.317837245195782
355,4.3451449719956665
356,4.3451449719956665
357,4.369183822565028
358,4.36918382256503
359,4.396183042165149
360,4.396183042165152
361,4.414213562373095
362,4.414213562373095
363,4.433545502649478
364,4.43354550264948
365,4.452155993287262
366,4.4521559932872625
367,4.482361909794958
368,4.482361909794959
369,4.504314480290076
370,4.504314480290076
371,4.514527949551437
372,4.514527949551437
373,4.517638090205039
374,4.517638090205041
375,4.517638090205041
376,4.517638090205042
377,4.522104768880207
378,4.568676160374525
379,4.568676160374525
380,4.586706680582471
381,4.586706680582471
382,4.630236207005133
383,4.630236207005133
384,4.648846697642915
385,4.648846697642917
386,4.6998847678123985
387,4.699884767812399
388,4.714328794560695
389,4.714328794560696
390,4.732050807568878
391,4.732050807568879
392,4.738947615559896
393,4.738947615559898
394,4.765366864730177
395,4.765366864730179
396,4.765366864730179
397,4.765366864730181
398,4.778690474645145
399,4.778690474645145
