index,lambda
152,0.7197378089934011
153,0.7197378089934013
154,0.7380273726043316
155,0.7380273726043318
156,0.7494567172217258
157,0.749456717221726
158,0.7503540948124384
159,0.7503540948124394
160,0.7642695774731677
161,0.7642695774731689
162,0.7824771419825574
163,0.7824771419825582
164,0.7867592955053518
165,0.7867592955053524
166,0.7874481108096517
167,0.7874481108096529
168,0.7920409545615275
169,0.7920409545615279
170,0.7995874192349375
171,0.7995874192349377
172,0.8209065811760979
173,0.820906581176098
174,0.8265866388350589
175,0.8333811604369546
176,0.8333811604369549
177,0.8335493047772888
178,0.8335493047772892
179,0.8506254894044214
180,0.8506254894044218
181,0.8537356300580273
182,0.8537356300580277
183,0.8875628867344856
184,0.8875628867344859
185,0.8886168829923476
186,0.888616882992348
187,0.8888595339607954
188,0.8888595339607961
189,0.8931416874835876
190,0.8931416874835885
191,0.9059698112131748
192,0.9059698112131751
193,0.9096137044595743
194,0.909613704459575
195,0.9228472130218138
196,0.9228472130218147
197,0.9272889731543346
198,0.9272889731543352
199,0.934718076959985
200,0.934718076959986
201,0.9492575622309839
202,0.9492575622309849
203,0.9570078813826591
204,0.9570078813826596
205,0.9887316589171821
206,0.9887316589171827
207,0.9926407700840907
208,0.9949992749705843
209,0.9949992749705847
210,0.9990797570444343
211,0.9990797570444347
212,0.9999999999999994
213,1.0
214,1.0042821535227924
215,1.004282153522793
216,1.017110277252379
217,1.0171102772523792
218,1.0183691451947712
219,1.0183691451947718
220,1.0384294391935391
221,1.0384294391935394
222,1.041100468938222
223,1.0411004689382226
224,1.0504263344136804
225,1.0504263344136815
226,1.0681483474218618
227,1.0681483474218632
228,1.0821068226689499
229,1.082106822668951
230,1.0946016892173913
231,1.0946016892173918
232,1.0951140508954187
233,1.0951140508954191
234,1.1061397410097884
235,1.1061397410097888
236,1.1154226195619972
237,1.115422619561998
238,1.1195379173774676
239,1.1195379173774682
240,1.1197047730847902
241,1.1197047730847913
242,1.1325328968143757
243,1.1325328968143766
244,1.1522409349774267
245,1.152240934977427
246,1.153852058755537
247,1.1538520587555374
248,1.1568087263919182
249,1.1568087263919187
250,1.1715728752538104
251,1.1776287548419075
252,1.177628754841908
253,1.183570966983861
254,1.1835709669838614
255,1.1957704614000881
256,1.1957704614000886
257,1.2062545169346233
258,1.2062545169346237
259,1.2215623605717862
260,1.2215623605717867
261,1.225920309355705
262,1.2259203093557052
263,1.2346331352698199
264,1.234633135269821
265,1.2389152887926134
266,1.2389152887926136
267,1.2517434125221993
268,1.2517434125222002
269,1.267094807426767
270,1.2670948074267672
271,1.2676635545394235
272,1.267663554539424
273,1.2679491924311224
274,1.2679491924311228
275,1.2730625744633601
276,1.2730625744633606
277,1.2787975270246037
278,1.2787975270246044
279,1.3021528533783253
280,1.3021528533783255
281,1.3027814826916837
282,1.3027814826916841
283,1.3216771364966207
284,1.3216771364966209
285,1.3370607753949095
286,1.3370607753949095
287,1.3407728762796094
288,1.3407728762796096
289,1.3571210693936755
290,1.3571210693936766
291,1.361403222916468
292,1.3614032229164699
293,1.3626167395997244
294,1.368263579609463
295,1.3682635796094633
296,1.3742313466460556
297,1.374231346646056
298,1.3833718119931198
299,1.38337181199312
300,1.3851799190028404
301,1.3851799190028407
302,1.3868740702472466
303,1.386874070247247
304,1.3955505085872157
305,1.3955505085872162
306,1.4132933194175297
307,1.4132933194175301
308,1.42526941681554
309,1.4252694168155406
310,1.440887652204444
311,1.4408876522044443
312,1.4524833949569071
313,1.4524833949569071
314,1.463260810403465
315,1.4632608104034655
316,1.4637855117824201
317,1.463785511782421
318,1.4746459715877
319,1.4746459715877005
320,1.4823619097949583
321,1.4823619097949585
322,1.4866440633177513
323,1.4866440633177516
324,1.4963203850420452
325,1.4963203850420455
326,1.4994721870473378
327,1.4994721870473378
328,1.5025823277009425
329,1.5025823277009431
330,1.5093620043711031
331,1.5093620043711033
332,1.5207913489884977
333,1.5207913489884979
334,1.5287159389795268
335,1.528715938979527
336,1.5505102572168221
337,1.550510257216823
338,1.5633755863282994
339,1.5633755863283003
340,1.5649542839651172
341,1.5701679037606573
342,1.570167903760658
343,1.5716939106647296
344,1.57169391066473
345,1.5857864376269046
346,1.585786437626905
347,1.588501650804747
348,1.5885016508047474
349,1.6098193559677432
350,1.6098193559677438
351,1.6117430046040424
352,1.6117430046040426
353,1.614101509490536
